Date,Open,High,Low,Close,Adj Close,Volume
2022-12-16,16321.979492,16452.953125,15649.158203,15708.399414,15708.399414,22675985898
2022-12-17,15707.926758,15857.841797,15674.422852,15852.651367,15852.651367,13651972395
2022-12-18,15853.140625,15875.103516,15760.838867,15832.535156,15832.535156,10321068134
2022-12-19,15833.540039,15861.481445,15459.555664,15491.159180,15491.159180,16227470460
2022-12-20,15493.145508,15982.218750,15492.875000,15911.115234,15911.115234,21384560398
2022-12-21,15909.442383,15921.787109,15786.716797,15853.267578,15853.267578,14029601625
2022-12-22,15854.064453,15839.223633,15677.452148,15875.791992,15875.791992,15509072793
2022-12-23,15875.133789,15921.419922,15859.444336,15746.622070,15746.622070,14370710930
2022-12-24,15746.644531,15809.933594,15743.412109,15794.045898,15794.045898,9135177431
2022-12-25,15793.811523,15806.043945,15777.098633,15857.252930,15857.252930,10974843059
2022-12-26,15857.500000,15903.123047,15816.237305,15902.823242,15902.823242,11172480318
2022-12-27,15902.340820,15935.183594,15632.481445,15716.216797,15716.216797,14805618249
2022-12-28,15715.489258,15743.266602,15546.357422,15573.189453,15573.189453,15999519839
2022-12-29,15572.955078,15637.797852,15534.274414,15611.149414,15611.149414,13575508700
2022-12-30,15610.200195,15611.368164,15346.846680,15478.656250,15478.656250,14850822297
2022-12-31,15479.671875,15502.722656,15398.803711,15426.750000,15426.750000,10477967597
2023-01-01,15427.140625,15541.694336,15402.266602,15528.423828,15528.423828,8634566625
2023-01-02,15528.825195,15699.348633,15475.975586,15630.739258,15630.739258,11331006135
2023-01-03,15631.091797,15727.685547,15769.708984,15817.341797,15817.341797,13184150981
2023-01-04,15817.671875,16002.794922,15783.755859,15899.841797,15899.841797,17369309126
2023-01-05,15900.061523,15902.215820,15902.749023,16002.543945,16002.543945,13014337151
2023-01-06,16002.293945,15960.681641,15921.389648,15896.708984,15896.708984,13516412396
2023-01-07,15896.847656,15945.719727,15861.756836,15900.098633,15900.098633,7234738931
2023-01-08,15899.224609,16028.553711,15871.001953,16028.553711,16028.553711,9161480345
2023-01-09,16031.224609,16171.895508,16031.224609,16022.666016,16022.666016,17353356453
2023-01-10,16019.307617,16285.391602,16004.180664,16246.458984,16246.458984,14721152054
2023-01-11,16246.521484,16659.367188,16120.833008,16659.367188,16659.367188,17065646959
2023-01-12,16829.070313,17534.818359,16727.800781,17375.474609,17375.474609,32202273140
2023-01-13,17374.847656,18406.226563,17274.234375,18355.751953,18355.751953,26944191476
2023-01-14,18356.638672,19435.728516,18354.142578,19344.574219,19344.574219,35936519640
2023-01-15,19345.666016,19360.666016,19003.990234,19293.441406,19293.441406,17831342602
2023-01-16,19294.757813,19744.132813,19136.066406,19544.503906,19544.503906,24735714659
2023-01-17,19550.228516,19730.427734,19381.396484,19613.130859,19613.130859,23170734580
2023-01-18,19612.697266,19814.521484,18990.412109,19160.003906,19160.003906,27788389733
2023-01-19,19158.119141,19531.640625,19156.855469,19464.439453,19464.439453,19525411574
2023-01-20,19463.126953,20863.353516,19292.685547,20848.822266,20848.822266,26477942481
2023-01-21,20849.626953,21404.371094,20697.378906,20940.359375,20940.359375,29825451809
2023-01-22,20940.691406,21196.951172,20597.898438,20912.847656,20912.847656,22777637981
2023-01-23,20913.466797,21279.791016,20856.548828,21096.007813,21096.007813,24392961479
2023-01-24,21091.587891,21263.072266,20715.773438,20786.662109,20786.662109,24247300228
2023-01-25,20789.232422,21735.681641,20572.832031,21168.353516,21168.353516,28097700420
2023-01-26,21160.199219,21293.226563,21082.175781,21143.859375,21143.859375,24196232919
2023-01-27,21141.968750,21539.572266,20805.501953,21228.644531,21228.644531,23348505923
2023-01-28,21229.781250,21304.910156,21070.457031,21182.890625,21182.890625,13532245302
2023-01-29,21183.220703,22008.570313,21140.564453,21867.869141,21867.869141,25224334965
2023-01-30,21867.945313,21884.201172,20880.775391,21050.042969,21050.042969,25073357016
2023-01-31,21050.648438,21380.955078,20969.888672,21305.564453,21305.564453,21027999257
2023-02-01,21304.230469,21628.203125,20978.027344,21541.990234,21541.990234,24229303228
2023-02-02,21539.314453,21932.177734,21521.570313,21524.574219,21524.574219,29406567597
2023-02-03,21522.320313,21859.978516,21548.533203,21701.173828,21701.173828,25064023436
2023-02-04,21698.398438,21789.000000,21555.392578,21580.792969,21580.792969,14465569183
2023-02-05,21581.162109,21635.337891,21170.566406,21276.367188,21276.367188,18133058539
2023-02-06,21274.843750,21532.833984,21155.503906,21213.240234,21213.240234,22205763797
2023-02-07,21210.591797,21693.798828,21207.398438,21680.203125,21680.203125,25336708782
2023-02-08,21679.386719,21783.050781,21200.021484,21407.873047,21407.873047,23677473761
2023-02-09,21414.560547,21459.908203,20272.855469,20316.777344,20316.777344,30329918018
2023-02-10,20316.746094,20457.697266,20174.656250,20256.523438,20256.523438,25334151033
2023-02-11,20257.138672,20481.275391,20225.896484,20462.062500,20462.062500,15302639919
2023-02-12,20462.087891,20617.125000,20302.173828,20405.873047,20405.873047,16690407937
2023-02-13,20404.744141,20494.046875,20022.113281,20322.708984,20322.708984,22289589211
2023-02-14,20316.857422,20710.349609,20187.177734,20698.390625,20698.390625,24956955411
2023-02-15,20698.185547,22735.562500,20591.498047,22735.562500,22735.562500,30382227264
2023-02-16,22735.101563,23541.443359,22128.710938,22149.275391,22149.275391,36863147459
2023-02-17,22147.220703,23301.111328,22003.044922,22923.218750,22923.218750,38593349279
2023-02-18,22922.933594,23140.810547,22832.443359,22993.785156,22993.785156,18313290723
2023-02-19,22992.619141,23415.359375,22770.064453,22770.064453,22770.064453,23918940029
